('student_no::', 584, ':::company_alloted::', 43, ':::index in pref list:::', 5, ':::summing:::', 2158)
('student_no::', 33, ':::company_alloted::', 43, ':::index in pref list:::', 19, ':::summing:::', 2177)
('student_no::', 174, ':::company_alloted::', 43, ':::index in pref list:::', 26, ':::summing:::', 2203)
('student_no::', 203, ':::company_alloted::', 43, ':::index in pref list:::', 29, ':::summing:::', 2232)
('student_no::', 535, ':::company_alloted::', 43, ':::index in pref list:::', 12, ':::summing:::', 2244)
('student_no::', 593, ':::company_alloted::', 128, ':::index in pref list:::', 3, ':::summing:::', 2247)
('student_no::', 486, ':::company_alloted::', 128, ':::index in pref list:::', 14, ':::summing:::', 2261)
('student_no::', 395, ':::company_alloted::', 128, ':::index in pref list:::', 28, ':::summing:::', 2289)
('student_no::', 940, ':::company_alloted::', 128, ':::index in pref list:::', 37, ':::summing:::', 2326)
('student_no::', 565, ':::company_alloted::', 128, ':::index in pref list:::', 8, ':::summing:::', 2334)
('student_no::', 43, ':::company_alloted::', 187, ':::index in pref list:::', 29, ':::summing:::', 2363)
('student_no::', 254, ':::company_alloted::', 187, ':::index in pref list:::', 16, ':::summing:::', 2379)
('student_no::', 881, ':::company_alloted::', 187, ':::index in pref list:::', 29, ':::summing:::', 2408)
('student_no::', 269, ':::company_alloted::', 187, ':::index in pref list:::', 34, ':::summing:::', 2442)
('student_no::', 617, ':::company_alloted::', 187, ':::index in pref list:::', 31, ':::summing:::', 2473)
('student_no::', 553, ':::company_alloted::', 130, ':::index in pref list:::', 16, ':::summing:::', 2489)
('student_no::', 183, ':::company_alloted::', 130, ':::index in pref list:::', 1, ':::summing:::', 2490)
('student_no::', 942, ':::company_alloted::', 130, ':::index in pref list:::', 17, ':::summing:::', 2507)
('student_no::', 813, ':::company_alloted::', 130, ':::index in pref list:::', 10, ':::summing:::', 2517)
('student_no::', 871, ':::company_alloted::', 130, ':::index in pref list:::', 5, ':::summing:::', 2522)
('student_no::', 92, ':::company_alloted::', 6, ':::index in pref list:::', 18, ':::summing:::', 2540)
('student_no::', 27, ':::company_alloted::', 6, ':::index in pref list:::', 12, ':::summing:::', 2552)
('student_no::', 736, ':::company_alloted::', 6, ':::index in pref list:::', 34, ':::summing:::', 2586)
('student_no::', 597, ':::company_alloted::', 6, ':::index in pref list:::', 18, ':::summing:::', 2604)
('student_no::', 415, ':::company_alloted::', 6, ':::index in pref list:::', 1, ':::summing:::', 2605)
('student_no::', 319, ':::company_alloted::', 180, ':::index in pref list:::', 7, ':::summing:::', 2612)
('student_no::', 218, ':::company_alloted::', 180, ':::index in pref list:::', 10, ':::summing:::', 2622)
('student_no::', 262, ':::company_alloted::', 180, ':::index in pref list:::', 28, ':::summing:::', 2650)
('student_no::', 132, ':::company_alloted::', 180, ':::index in pref list:::', 22, ':::summing:::', 2672)
('student_no::', 240, ':::company_alloted::', 180, ':::index in pref list:::', 4, ':::summing:::', 2676)
('student_no::', 376, ':::company_alloted::', 190, ':::index in pref list:::', 24, ':::summing:::', 2700)
('student_no::', 970, ':::company_alloted::', 190, ':::index in pref list:::', 38, ':::summing:::', 2738)
('student_no::', 577, ':::company_alloted::', 190, ':::index in pref list:::', 31, ':::summing:::', 2769)
('student_no::', 549, ':::company_alloted::', 190, ':::index in pref list:::', 39, ':::summing:::', 2808)
('student_no::', 686, ':::company_alloted::', 190, ':::index in pref list:::', 30, ':::summing:::', 2838)
('student_no::', 446, ':::company_alloted::', 121, ':::index in pref list:::', 36, ':::summing:::', 2874)
('student_no::', 980, ':::company_alloted::', 121, ':::index in pref list:::', 26, ':::summing:::', 2900)
('student_no::', 17, ':::company_alloted::', 121, ':::index in pref list:::', 4, ':::summing:::', 2904)
('student_no::', 981, ':::company_alloted::', 121, ':::index in pref list:::', 7, ':::summing:::', 2911)
('student_no::', 609, ':::company_alloted::', 121, ':::index in pref list:::', 16, ':::summing:::', 2927)
('student_no::', 188, ':::company_alloted::', 172, ':::index in pref list:::', 0, ':::summing:::', 2927)
('student_no::', 111, ':::company_alloted::', 172, ':::index in pref list:::', 6, ':::summing:::', 2933)
('student_no::', 20, ':::company_alloted::', 172, ':::index in pref list:::', 38, ':::summing:::', 2971)
('student_no::', 117, ':::company_alloted::', 172, ':::index in pref list:::', 14, ':::summing:::', 2985)
('student_no::', 308, ':::company_alloted::', 172, ':::index in pref list:::', 17, ':::summing:::', 3002)
('student_no::', 536, ':::company_alloted::', 156, ':::index in pref list:::', 31, ':::summing:::', 3033)
('student_no::', 596, ':::company_alloted::', 156, ':::index in pref list:::', 19, ':::summing:::', 3052)
('student_no::', 956, ':::company_alloted::', 156, ':::index in pref list:::', 31, ':::summing:::', 3083)
('student_no::', 164, ':::company_alloted::', 156, ':::index in pref list:::', 12, ':::summing:::', 3095)
('student_no::', 126, ':::company_alloted::', 156, ':::index in pref list:::', 37, ':::summing:::', 3132)
